Cell Type,Clone,Substrate,Loading,Media,Donor,Days CM,Passage,Pre-Fix.Stain,Post-Fix.Stain,Experiment ID,Purpose,Date FISHed,Date Imaged,ImageObject?,Folder,Good?,Data Processed?,FISHed/Processed By,Notes,Treatment.Type,Treatment.Length,GFP.dye,GFP.type,GFP.target,alexa.dye,alexa.target,TMR.dye,TMR.target,cy.dye,cy.target,nir.dye,nir.target,dapi.dye,dapi.target
MSC,het,glass,static,CM-,,,,,,G1,,2013-06-24,2013-06-25,,/2013-06-25 Ally/CM Minus Media,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,glass,static,CM+,,,,,,G2,,2013-06-24,2013-06-25,,/2013-06-25 Ally/Differentiation Media,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,static,CM-,,,,,,S1,MSCs on scaffolds,2013-06-26,2013-06-27,,/2013-06-27/CM Minus scaffold,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,static,CM+,,,,,,S2,MSCs on scaffolds,2013-06-26,2013-06-27,,/2013-06-27/CM Plus,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,DL,CM-,,,,,,S3,MSCs on scaffolds,2013-06-26,2013-06-27,,/2013-06-27/CM Minus scaffold,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,K,scaffold,DL,CM-,,,,,,S4,MSCs on scaffolds (clone),2013-07-04,2013-07-05,,/2013-07-05/K DL,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,K,scaffold,static,CM-,,,,,,S5,MSCs on scaffolds (clone),2013-07-04,2013-07-05,,/2013-07-05/K Static,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,DL,CM-,,,,,,S6,MSCs on scaffolds,2013-07-08,2013-07-09,,/2013-07-09,y (t),y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,DL,CM-,,,,,,S7,MSCs on scaffolds,2013-07-09,2013-07-10,,/2013-07-10/DL Het,y (t),y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,F,scaffold,DL,CM-,,,,,,S8,MSCs on scaffolds (clone),2013-07-14,2013-07-15,,/2013-07-15/F DL,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,F,scaffold,static,CM-,,,,,,S9,MSCs on scaffolds (clone),2013-07-14,2013-07-15,,/2013-07-15/F Static,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,F,scaffold,static,CM-,,,,,,S10,MSCs on scaffolds (clone),2013-07-16,2013-07-17,,/2013-07-17,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,M,scaffold,static,CM-,,,,,,S11,MSCs on scaffolds (clone),2013-07-17,2013-07-18,,/2013-07-18,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,P,scaffold,DL,CM-,,,,,,S12,MSCs on scaffolds (clone),2013-07-21,2013-07-22,,/2013-07-22/P DL Scaffold,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,M,scaffold,DL,CM-,,,,,,S13,MSCs on scaffolds (clone),2013-07-24,2013-07-25,,/2013-07-25,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,DL,CM-,,,,,,S14,MSCs on scaffolds (checking to see if dynamic loading works),several,several,,,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,L,scaffold,DL,CM-,,,,,,S15,MSCs on scaffolds (clone),,,,,,,,,,,,,,,,,,,,,,,
MSC,J,scaffold,DL,CM-,,,,,,S16,MSCs on scaffolds (clone),,,,,,,,,,,,,,,,,,,,,,,
MSC,P,scaffold,static,CM-,,,,,,S17,MSCs on scaffolds (clone),,,,,,,,,,,,,,,,,,,,,,,
MSC,L,scaffold,static,CM-,,,,,,S18,MSCs on scaffolds (clone),,,,,,,,,,,,,,,,,,,,,,,
MSC,J,scaffold,static,CM-,,,,,,S19,MSCs on scaffolds (clone),,,,,,,,,,,,,,,,,,,,,,,
MSC,het,glass,static,CM+,,,,,,G3,small colonies before passaging,2013-08-07,2013-08-08,,/2013-08-08,y,y,,large/small colonies,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,static,CM-,,0,,,,S20,glass and scaffold direct comparison,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,scaffold,static,CM+,,0,,,,S21,glass and scaffold direct comparison,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,scaffold,static,CM-,,4,,,,S22,glass and scaffold direct comparison,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,scaffold,static,CM+,,4,,,,S23,glass and scaffold direct comparison,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,glass,static,CM-,,0,,,,G4,glass and scaffold direct comparison,2013-08-20,2013-08-21,,/2013-08-21,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,glass,static,CM+,,0,,,,G5,glass and scaffold direct comparison,2013-08-20,2013-08-22,,/2013-08-22,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,glass,static,CM-,,4,,,,G6,glass and scaffold direct comparison,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,glass,static,CM+,,4,,,,G7,glass and scaffold direct comparison,,,,,,,,,,,,,,,,,,,,,,,
MFC,in,scaffold,static,CM-,,4,,,,S24,meniscus cells on scaffold (also comparison with glass),2013-08-29,2013-08-30,,/2013-08-30/MFC in,ish,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MFC,out,scaffold,static,CM-,,4,,,,S25,meniscus cells on scaffold (also comparison with glass),2013-08-29,2013-08-30,,/2013-08-30/MFC out,ish,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MFC,in,glass,static,CM-,,4,,,,G8,meniscus cells on scaffold (also comparison with glass),2013-08-25,2013-08-26,,/2013-08-26/MFC in,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MFC,in,glass,static,CM+,,4,,,,G9,meniscus cells on scaffold (also comparison with glass),,,,,,,,,,,,,,,,,,,,,,,
MFC,out,glass,static,CM-,,4,,,,G10,meniscus cells on scaffold (also comparison with glass),2013-08-25,2013-08-26,,/2013-08-26/MFC out,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MFC,out,glass,static,CM+,,4,,,,G11,meniscus cells on scaffold (also comparison with glass),,,,,,,,,,,,,,,,,,,,,,,
chondrocyte,het,glass,static,CM-,1,,0,,,G12,testing new adipo/osteo probes on cells on glass,2013-08-26,2013-08-27,,/2013-08-27/Donor1,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
chondrocyte,het,glass,static,CM-,2,,0,,,G13,testing new adipo/osteo probes on cells on glass,2013-08-26,2013-08-27,,/2013-08-27/Donor2,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,glass,static,CM-,,0,,,,G14,testing new adipo/osteo probes on cells on glass,2013-09-16,2013-09-17,,/2013-09-17/CM Minus,y,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,glass,static,CM+,,0,,,,G15,testing new adipo/osteo probes on cells on glass,2013-09-16,2013-09-17,,/2013-09-17/CM Plus,y,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,CM-,1,,2,,,G16,testing new adipo/osteo probes on cells on glass,,,,,,,,,,,,,,,,,,,,,,,
chondrocyte,het,glass,static,CM-,2,,2,,,G17,testing new adipo/osteo probes on cells on glass,,,,,,,,,,,,,,,,,,,,,,,
chondrocyte,het,glass,static,CM-,1,,3,,,G18,testing new adipo/osteo probes on cells on glass,2013-09-19,2013-09-19,,/2013-09-19,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,CM-,2,,3,,,G19,testing new adipo/osteo probes on cells on glass,2013-09-19,2013-09-19,,/2013-09-19,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,pellet,static,CM-,NA,0,,,,T1,test of MSCs in pellets,2013-09-16,2013-09-17,,/2013-09-17/pellet,n,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,glass,static,Adipo,NA,7,,,phalloidin,G20,adipo/osteo media to test for expression of new adipo/osteo test genes,2013-09-24,2013-09-26,,/2013-09-26/adipo,,,,,,,atto488,phalloidin,actin,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,glass,static,Osteo,NA,7,,,phalloidin,G21,adipo/osteo media to test for expression of new adipo/osteo test genes,2013-09-24,2013-09-26,,/2013-09-26/osteo,,,,,,,atto488,phalloidin,actin,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4,,-1,,,G22,chondrocyte dedifferentiation core,2013-10-08,2013-10-09,,/2013-10-09,?,,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,agarose,static,Basal,NA,,,,,A1,test of random cells in agarose ,2013-10-06,2013-10-07,,/2013-10-08,n,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4,,0,,,G23,chondrocyte dedifferentiation core,2013-10-15,2013-10-16,,/2013-10-16/Donor4,,,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,0,,,G24,chondrocyte dedifferentiation core,2013-10-15,2013-10-16,,/2013-10-16/Donor6,,,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,-1,,,G25,chondrocyte dedifferentiation core,2013-10-14,2013-10-15,,/2013-10-15,,,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,agarose,static,Basal,4,,0,,,A2,chondrocytes in agarose test,2013-10-14,2013-10-15,,/2013-10-15/gel,,,,mixed fixed chondrocytes with agarose and made 6uL gels,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4,,1,,,G26,chondrocyte dedifferentiation core,2013-10-17,2013-10-18,,/2013-10-18,y,y,CM,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,1,,,G27,chondrocyte dedifferentiation core,2013-10-17,2013-10-18,,/2013-10-18,y,y,CM,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4,,2,,,G28,chondrocyte dedifferentiation core,2013-10-27,2013-10-28,,/2013-10-28,y,y,CM,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,2,,,G29,chondrocyte dedifferentiation core,2013-10-27,2013-10-28,,/2013-10-28,y,y,CM,some unsegmented but overlapping cells not analyzed,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4,,3,,,G30,chondrocyte dedifferentiation core,2013-10-30,2013-10-31,,/2013-10-31/D4,,,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,3,,,G31,chondrocyte dedifferentiation core,2013-10-30,2013-10-31,,/2013-10-31/D6,,,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4,,4,,,G32,chondrocyte dedifferentiation core,,,,,,,,,,,,,,,,,,,,,,,
chondrocyte,het,glass,static,Basal,6,,4,,,G33,chondrocyte dedifferentiation core,,,,,,,,,,,,,,,,,,,,,,,
chondrocyte,het,glass,static,Basal,4,,5,,,G34,chondrocyte dedifferentiation core,2014-04-17,2014-04-18,,/2014-04-18/Don4 - P5,y,y,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,5,,,G35,chondrocyte dedifferentiation core,2014-04-17,2014-04-18,,/2014-04-18/Don6 - P5,y,y,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,agarose,static,CM-,4,1,NA,,,A3,ultra thin gels test,2013-10-24,2013-10-25,,/2013-10-25,,,AC,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,agarose,static,CM+,4,1,NA,,,A4,ultra thin gels test,2013-10-28,2013-10-29,,/2013-10-29,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,agarose,static,CM-,4,7,NA,,,A5,ultra thin gels test,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,agarose,static,CM+,4,7,NA,,,A6,ultra thin gels test,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,agarose,static,CM-,4,14,NA,,,A7,ultra thin gels test,2013-11-20,2013-11-21,,/2013-11-21/CM Minus,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,agarose,static,CM+,4,14,NA,,,A8,ultra thin gels test,2013-11-20,2013-11-21,,/2013-11-21/CM Plus,,,,,,,,,,,,,,,,,,,
adipocyte,het,glass,static,NA,6,,tissue,,,,tissue FISH test,2013-11-19,2013-11-20,,/2013-11-20/fat,,,,,,,,,,,,,,,,,,,
chondrocyte,het,glass,static,NA,6,,tissue,,,,tissue FISH test,2013-11-19,2013-11-20,,/2013-11-20/cartilage,,,,,,,,,,,,,,,,,,,
MSC,het,agarose,static,CM-,4,28,NA,,,A9,ultra thin gels test,,,,,,,,,,,,,,,,,,,,,,,
MSC,het,agarose,static,CM+,4,28,NA,,,A10,ultra thin gels test,,,,,,,,,,,,,,,,,,,,,,,
chondrocyte,het,glass,static,Basal,4,,7,,,G36,chondrocyte dedifferentiation core,2013-11-21,2013-11-22,,/2013-11-22/Donor 4,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,7,,,G37,chondrocyte dedifferentiation core,2013-11-21,2013-11-22,,/2013-11-22/Donor 6,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4,,9,,,G38,chondrocyte dedifferentiation core,2013-12-12,2013-12-13,,/2013-12-13/ChonP9 D4,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,6,,9,,,G39,chondrocyte dedifferentiation core,2013-12-12,2013-12-13,,/2013-12-13/ChonP9 D6,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,1,,0,,,G40,chondrocyte dedifferentiation core,2014-01-23,2014-01-24,,/2014-01-24/Donor 1,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4B,,0,,,G41,chondrocyte dedifferentiation core,2014-01-23,2014-01-24,,/2014-01-24/Donor 4B,,,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,1,,1,,,G42,chondrocyte dedifferentiation core,2014-01-27,2014-01-28,,/2014-01-28/Donor 1,,y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4B,,1,,,G43,chondrocyte dedifferentiation core,2014-01-27,2014-01-28,,/2014-01-28/Donor 4B,,Y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,1,,3,,,G44,chondrocyte dedifferentiation core,2014-03-18,2014-03-19,,/2014-03-19/Don1,,y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4B,,3,,,G45,chondrocyte dedifferentiation core,2014-03-18,2014-03-19,,/2014-03-19/Don4B,,y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,1,,5,,,G46,chondrocyte dedifferentiation core,2014-02-17,2014-02-18,,/2014-02-18/Don1,ish,y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4B,,5,,,G47,chondrocyte dedifferentiation core,2014-02-17,2014-02-18,,/2014-02-18/Don4b,ish,Y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,1,,7,,,G48,chondrocyte dedifferentiation core,2014-03-24,2014-03-25,,/2014-03-25/Don1,ish,y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
chondrocyte,het,glass,static,Basal,4B,,7,,,G49,chondrocyte dedifferentiation core,2014-03-24,2014-03-25,,/2014-03-25/Don4B,ish,Y CMM,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,agarose,static,CM-,3,1,NA,,,A11,MSCs het differentiation in gels core,2014-03-04,2014-03-05,,/2014-03-05,,y AC,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,agarose,static,CM+,3,1,NA,,,A12,MSCs het differentiation in gels core,2014-02-04,2014-02-05,,/2014-02-05,,y AC,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
MSC,het,agarose,static,CM-,3,4,NA,,,A13,MSCs het differentiation in gels core,2014-03-06,2014-03-07,,/2014-03-07,,y AC,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
